day,nomdom,discipline,location,type,begin,end
mon,all,Элементы управления АСОИУ,515ю,lecture,08:30:00 AM,10:05:00 AM
mon,all,Корпоротивная культура,533,mixed,10:15:00 AM,11:50:00 AM
mon,all,Экономика,533,lecture,12:00:00 PM,01:35:00 PM
tue,nom,Имитационное моделирование,533,lecture,10:15:00 AM,11:50:00 AM
tue,dom,Конструирование ЭВМ,533,lecture,10:15:00 AM,11:50:00 AM
tue,all,Конструирование ЭВМ,533,lecture,12:00:00 PM,01:35:00 PM
tue,all,Беспроводные сети,533,lecture,01:50:00 PM,03:25:00 PM
tue,dom,Беспроводные сети,компзал,lab,03:40:00 PM,05:15:00 PM
thu,all,БЖД,533,lecture,01:50:00 PM,03:25:00 PM
thu,all,Анализ очередей,432,lecture,03:40:00 PM,05:15:00 PM
fri,all,Анализ очередей,компзал,lab,08:30:00 AM,10:05:00 AM
fri,nom,БЖД,392,seminar,10:15:00 AM,11:50:00 AM
fri,dom,Экономика,392,seminar,10:15:00 AM,11:50:00 AM
